CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260512,2026-05-12,090741,CME ,00,090 ,  251467,   69818,   72243,    2075,   90749,   66981,    6595,   29032,   66695,    7119,   13795,       0,       0,  219183,  221708,   32284,   29759,    7674,     320,    5767,     561,   -1524,    4498,     804,    3291,   -6804,    2883,     260,    -454,    -247,    6348,    7008,    1326,     666,  100.0,   27.8,   28.7,    0.8,   36.1,   26.6,    2.6,   11.5,   26.5,    2.8,    5.5,    0.0,    0.0,   87.2,   88.2,   12.8,   11.8,    120,.,     12,.,     17,     23,      9,     20,     32,     11,     13,      0,      0,     71,     71,    58.0,    28.7,    64.8,    43.4,    58.0,    28.7,    63.7,    43.4,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260505,2026-05-05,090741,CME ,00,090 ,  243793,   69498,   66476,    1514,   92273,   62483,    5791,   25741,   73499,    4236,   13535,     454,     247,  212835,  214700,   30958,   29093,   -8886,  -13946,    6284,    -342,    3924,   -9834,   -1022,     502,   -5568,      98,     324,     454,    -294,  -10756,  -10224,    1870,    1338,  100.0,   28.5,   27.3,    0.6,   37.8,   25.6,    2.4,   10.6,   30.1,    1.7,    5.6,    0.2,    0.1,   87.3,   88.1,   12.7,   11.9,    121,      4,     11,.,     18,     22,      7,     20,     31,     12,     14,.,.,     72,     70,    59.0,    27.6,    66.0,    42.3,    59.0,    27.6,    64.8,    42.3,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260428,2026-04-28,090741,CME ,00,090 ,  252679,   83444,   60192,    1856,   88349,   72317,    6813,   25239,   79067,    4138,   13211,       0,     541,  223591,  224924,   29088,   27755,   -2449,  -17463,   14602,     999,    7670,  -10149,    -133,    7364,   -3023,   -1751,     831,   -1308,     -79,   -2562,    -842,     113,   -1607,  100.0,   33.0,   23.8,    0.7,   35.0,   28.6,    2.7,   10.0,   31.3,    1.6,    5.2,    0.0,    0.2,   88.5,   89.0,   11.5,   11.0,    125,      4,     12,.,     20,     20,     10,     20,     35,      9,     14,      0,.,     74,     73,    60.5,    25.0,    67.3,    39.7,    60.5,    25.0,    66.1,    39.7,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260421,2026-04-21,090741,CME ,00,090 ,  255128,  100907,   45590,     857,   80679,   82466,    6946,   17875,   82090,    5889,   12380,    1308,     620,  226153,  225766,   28975,   29362,   -4130,   -7241,   12879,    -423,   12603,  -12120,    1026,   -4748,   -1937,   -2162,   -1569,     -59,     180,   -2334,   -2616,   -1796,   -1514,  100.0,   39.6,   17.9,    0.3,   31.6,   32.3,    2.7,    7.0,   32.2,    2.3,    4.9,    0.5,    0.2,   88.6,   88.5,   11.4,   11.5,    120,      4,     11,.,     16,     23,     10,     18,     34,      9,     13,.,.,     67,     75,    62.2,    24.0,    68.6,    38.9,    62.0,    23.8,    67.5,    38.7,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260414,2026-04-14,090741,CME ,00,090 ,  259258,  108148,   32711,    1280,   68076,   94586,    5920,   22623,   84027,    8051,   13949,    1367,     440,  228487,  228382,   30771,   30876,   18523,   25277,     421,    1244,    2317,   12930,    -130,   -9338,    7922,    -341,    -412,   -1144,     190,   18807,   21092,    -284,   -2569,  100.0,   41.7,   12.6,    0.5,   26.3,   36.5,    2.3,    8.7,   32.4,    3.1,    5.4,    0.5,    0.2,   88.1,   88.1,   11.9,   11.9,    124,      6,     11,.,     16,     26,      9,     19,     29,      9,     16,.,.,     69,     77,    58.5,    26.0,    65.2,    40.9,    58.4,    25.9,    63.8,    40.7,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260407,2026-04-07,090741,CME ,00,090 ,  240735,   82871,   32290,      36,   65759,   81656,    6050,   31961,   76105,    8392,   14361,    2511,     250,  209680,  207290,   31055,   33445,   23650,   18768,   -3867,      11,    1010,   21255,    -131,    3636,    4870,    1225,    -334,    -266,      35,   24220,   23132,    -570,     518,  100.0,   34.4,   13.4,    0.0,   27.3,   33.9,    2.5,   13.3,   31.6,    3.5,    6.0,    1.0,    0.1,   87.1,   86.1,   12.9,   13.9,    127,      5,     11,.,     14,     26,      9,     27,     28,      9,     14,.,.,     68,     80,    51.6,    25.9,    59.6,    41.2,    51.4,    25.8,    58.3,    41.2,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260331,2026-03-31,090741,CME ,00,090 ,  217085,   64103,   36157,      25,   64749,   60401,    6181,   28325,   71235,    7167,   14695,    2777,     215,  185460,  184158,   31625,   32927,   34287,   33984,   -1527,     -77,   -2898,   18883,     583,    1574,   12784,    -284,    1772,      17,    -399,   34255,   29980,      32,    4307,  100.0,   29.5,   16.7,    0.0,   29.8,   27.8,    2.8,   13.0,   32.8,    3.3,    6.8,    1.3,    0.1,   85.4,   84.8,   14.6,   15.2,    121,      4,     11,.,     13,     26,     11,     20,     30,      8,     15,.,.,     67,     75,    49.4,    25.9,    57.3,    39.2,    49.2,    25.9,    56.2,    39.2,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260324,2026-03-24,090741,CME ,00,090 ,  182798,   30119,   37684,     102,   67647,   41518,    5598,   26751,   58451,    7451,   12923,    2760,     614,  151205,  154178,   31593,   28620,  -64955,  -14638,  -16892,  -45261,   -7447,   -3508,     403,     458,   -5694,     618,    -838,    1282,      68,  -66637,  -68984,    1682,    4029,  100.0,   16.5,   20.6,    0.1,   37.0,   22.7,    3.1,   14.6,   32.0,    4.1,    7.1,    1.5,    0.3,   82.7,   84.3,   17.3,   15.7,    114,.,     11,.,     17,     18,      9,     26,     24,     13,     13,.,.,     71,     67,    41.6,    30.5,    50.1,    44.3,    40.9,    30.5,    47.8,    44.3,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260317,2026-03-17,090741,CME ,00,090 ,  247753,   44757,   54576,   45363,   75094,   45026,    5195,   26293,   64145,    6833,   13761,    1478,     546,  217842,  223162,   29911,   24591,  -40639,   10490,  -31992,   -4965,  -30011,    9433,   -2477,   -1959,   -1266,   -5380,      57,    -479,    -810,  -35055,  -37936,   -5584,   -2703,  100.0,   18.1,   22.0,   18.3,   30.3,   18.2,    2.1,   10.6,   25.9,    2.8,    5.6,    0.6,    0.2,   87.9,   90.1,   12.1,    9.9,    121,      7,     10,      8,     22,     17,      9,     22,     27,     12,     14,.,.,     81,     70,    42.5,    37.3,    55.7,    51.5,    32.8,    27.4,    39.7,    40.0,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,260310,2026-03-10,090741,CME ,00,090 ,  288392,   34267,   86568,   50328,  105105,   35593,    7672,   28252,   65411,   12213,   13704,    1957,    1356,  252897,  261098,   35495,   27294,   55959,   -4887,   11502,   43776,     615,   -7315,    2154,    3308,    -904,    4955,     -77,     871,     691,   50535,   55730,    5424,     229,  100.0,   11.9,   30.0,   17.5,   36.4,   12.3,    2.7,    9.8,   22.7,    4.2,    4.8,    0.7,    0.5,   87.7,   90.5,   12.3,    9.5,    119,      6,     10,      6,     20,     14,     10,     25,     27,     14,     14,.,.,     81,     69,    48.4,    39.6,    57.7,    53.8,    34.6,    31.7,    40.4,    42.4,"(CONTRACTS OF CAD 100,000)",090741,CME ,090 ,F10,FutOnly
